screener.SCREENID	screener.NUMBERES	screener.RESNAME1	screener.RESNAME2	screener.RESNAME3	screener.RESNAME4	screener.SLOCNAME	screener.COUNTRY	screener.REGION	screener.SECTOR	screener.SLOCSIZE	screener.TYPE	resource.RESOURID	resource.FK_Screenid	resource.RESNAME1	resource.TYPERES	resource.ANALUNIT	resource.SECTOR1	resource.SECTOR2	resource.SURFAREA	resource.LENGTH	resource.STOREVOL	resource.FLOWVOL	resource.CONTROL	resource.QUALBETR	resource.CONFLICT	resource.VARSPACE	resource.PREDVAR1	resource.VARYEAR	resource.PREDVAR2	resource.VAROTIME	resource.PREDVAR3	oplevel.OPLEVID	oplevel.FK_RESOURID	oplevel.PROBLEM	oplevel.WELLDEFN	oplevel.BOWNCLOS	oplevel.BAPCLOSE	oplevel.BEGDATE	oplevel.ENDDATE	oplevel.ESTNDATE	oplevel.DURATION	oplevel.NEWOPRUL	oplevel.RESCHANG	oplevel.NEWTECH	oplevel.NEWVALUE	oplevel.EXTINCAP	oplevel.NEWGROUP	oplevel.INTCHANG	oplevel.INTERNAL	oplevel.BEGBLNC	oplevel.ENDBLNC	oplevel.BEGRATE1	oplevel.ENDRATE1	oplevel.BEGRATE2	oplevel.ENDRATE2	oplevel.BEGRATE3	oplevel.ENDRATE3	oplevel.BEGQUAL	oplevel.ENDQUAL	oplevel.BEGPOLL	oplevel.ENDPOLL	oplevel.BEGCONDA	oplevel.ENDCONDA	oplevel.BEGCONDD	oplevel.ENDCONDD	oplevel.BEGCONDP	oplevel.ENDCONDP	oplevel.BEGTRUST	oplevel.ENDTRUST	oplevel.EOWNCLOS	oplevel.EAPCLOSE	oplevel.EXTPOLL	oplevel.SEX	oplevel.ETHNCID	oplevel.CLANID	oplevel.RACEID	oplevel.SOCSTRAT	oplevel.RELANIMS	oplevel.COMMLANG	oplevel.CULTVWR	oplevel.OTHRCOMM	oplevel.SOCSANCT	oplevel.PHYSANCT	oplevel.MONSANCT	oplevel.VARSANCT	oplevel.BRIBERY	oplevel.MONPAID	oplevel.NUMSUBGP	oplevel.SUBGP1	oplevel.SUBGP2	oplevel.SUBGP3	oplevel.SUBGP4	oplevel.SG1TOSG2	oplevel.SG1TOSG3	oplevel.SG1TOSG4	oplevel.SG2TOSG3	oplevel.SG2TOSG4	oplevel.SG3TOSG4	oplevel.REALOSER	oplevel.REALYES	oplevel.WORSTOFF	oplevel.RELEQUTY	oplevel.CONDITON	subgroup.SUBGRPID	subgroup.SBGPDES	subgroup.BNUMUSR1	subgroup.ENUMUSR1	subgroup.BNUMUSR2	subgroup.ENUMUSR2	subgroup.SGENDER1	subgroup.SGENDER2	subgroup.SETHID1	subgroup.SETHID2	subgroup.SCLANID1	subgroup.SCLANID2	subgroup.SRACEID1	subgroup.SRACEID2	subgroup.SCASTE1	subgroup.SCASTE2	subgroup.SRELID1	subgroup.SRELID2	subgroup.SLANG1	subgroup.SLANG2	subgroup.SCULTVWR	subgroup.ACCESS	subgroup.WITHDRAW	subgroup.MANAGE	subgroup.EXCLUDED	subgroup.EXCLUDIN	subgroup.RESIDENT	subgroup.KPRESURE	subgroup.FAMINCDE	subgroup.SUBNOT	subgroup.SUBSIM	subgroup.AVERINC	subgroup.SUBVAR	subgroup.LONGVAR	subgroup.ASSETS	subgroup.ALTSUPLY	subgroup.SUBWHERE	subgroup.OLSON	subgroup.RULEFOLL	subgroup.RULEBRAK
10151	1	Gahavalla Village				Gahavalla Village	Sri Lanka	Middle East & South Asia	1	0	-2	10151.1	10151	Gahavalla Village	1	2	1		0	-2	-2	-2.	2.5	-2	-1	1.5	3.3	1.5	5.5	1.5	4.4	1.1	10151.1	2	1	2	5	1914	1939	0	4	1	1	2	1	1	1	2		5.5	4.4	0	0	-2	-2	-2	-2	2.2	2.2	1.2	1.2	-2	-2	-2	-2	-2	-2	1.4	1.4	2.5	5.5	2.2	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	1.2	-1	5.4	4.2	-2	-2.	1	1	0	0	0	44444	44444	44444	44444	44444	44444	2.4		2.4	2.4	0	1.1	Beachseiners	50	208	2	5	1.5	0%	1.5	Sinhalese	2.5		1.5		1.5	Karava	1.5	Buddhist	1.5	Sengala	1.4	1.5	1.5	3.5	2.3	2.3	6.5	1.5	1.5	5.5	1.5	2.5	1.1	2.2	6.5	4.5	-2	1.3	1.4	1.4
10151	1	Gahavalla Village				Gahavalla Village	Sri Lanka	Middle East & South Asia	1	0	-2	10151.1	10151	Gahavalla Village	1	2	1		0	-2	-2	-2.	2.5	-2	-1	1.5	3.3	1.5	5.5	1.5	4.4	1.2	10151.1	2	1	2	7	1940	1948	0	3	1	1	1	2	1	1	2		5.4	4.4	0	0	-2	-2	-2	-2	2.2	2.2	1.2	1.2	-2	-2	-2	-2	-2	-2	1.4	1.4	2.5	6.5	2.2	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	1.2	-1	5.4	4.2	-2	-2.	2	1	2	0	0	11222.4	44444	44444	44444	44444	44444	1.5	Fishermen who own only their own share to a beachsein.	1.5	1.5	0	1.2	Beachseiners	208	250	5	5	1.5	0%	1.5	Sinhalese	2.5		1.5		1.5	Karava	1.5	Buddhists	1.5	Singala	1.4	1.5	1.5	3.5	3.5	3.5	6.5	1.5	1.5	2.5	1.5	2.5	2.2	3.2	5.4	4	-2	1	1.5	1.4
10151	1	Gahavalla Village				Gahavalla Village	Sri Lanka	Middle East & South Asia	1	0	-2	10151.1	10151	Gahavalla Village	1	2	1		0	-2	-2	-2.	2.5	-2	-1	1.5	3.3	1.5	5.5	1.5	4.4	1.2	10151.1	2	1	2	7	1940	1948	0	3	1	1	1	2	1	1	2		5.4	4.4	0	0	-2	-2	-2	-2	2.2	2.2	1.2	1.2	-2	-2	-2	-2	-2	-2	1.4	1.4	2.5	6.5	2.2	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	1.2	-1	5.4	4.2	-2	-2.	2	1	2	0	0	11222.4	44444	44444	44444	44444	44444	1.5	Fishermen who own only their own share to a beachsein.	1.5	1.5	0	1.2	Beachseiners	208	250	5	5	1.5	0%	1.5	Sinhalese	2.5		1.5		1.5	Karava	1.5	Buddhists	1.5	Singala	1.4	1.5	1.5	3.5	3.5	3.5	6.5	1.5	1.5	2.5	1.5	2.5	2.2	3.2	5.4	4	-2	1	1.5	1.4
10151	1	Gahavalla Village				Gahavalla Village	Sri Lanka	Middle East & South Asia	1	0	-2	10151.1	10151	Gahavalla Village	1	2	1		0	-2	-2	-2.	2.5	-2	-1	1.5	3.3	1.5	5.5	1.5	4.4	1.3	10151.1	2	1	1	1	1949	1972	0	3	1	1	1	1	1	2	2		4.4	4.4	0	0	-2	-2	-2	-2	2.2	2.2	1.2	1.2	-2	-2	-2	-2	-2	-2	2.4	2.4	1.5	7	2.2	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	1.2	-1	5.4	4.2	-2	-2.	1	1	0	0	0	44444	44444	44444	44444	44444	44444	1.5	Fishers who own only their own share of net.	1.5	1.5	0	1.3		-1	274	-1	5	1.5	0%	1.5	Sinhalese	2.5		1.5		1.5	Karava	1.5	Buddhists	1.5	Singala	1.4	1.5	1.5	3.5	3.5	3.5	5	1.5	1.5	1.5	1.5	2.5	3.2	3.2	4.3	4.5	-2	1.4	1.5	1.4
50138	2	Deh Salm Irrigation	Nayband Irrigation			Deh Salm	Iran	Middle East & South Asia	5	3000000	-1	50138.1	50138	Deh Salm Irrigation	2	2	5		0	0	0		1.5	-2	0	1.3	3.3	1.3	3.2	-1	-1	2.1	50138.1	7	1	1	2	1920	0	1970	4	1	1	1	1	1	4	2		1.3	3.3	-2	-2	-1	3000000	-1	-1	-1	3.3	-1	1.3	3.2	2.3	5.5	2.3	-1	2.3	-1	-1	-2	-2	2.4	2.3	1.3	2.3	1.3	1.3	1.3	1.3	1.3	3.4	-1	-1	-1	-1	-2	-2.	1	3.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		2.2	2.2	0	3.1	All individuals who own shares of water (Deh Salm)	80.2	80.2	2.2	2.3	2.3		1.3		2.3		1.3		1.3		1.3		1.3		1.3	1.5	1.5	3.4	3.3	3.3	6.4	-2	1.3	1.3	1.4	3.3	2.3	2.3	4.2	4.5	-2	1.5	1.4	1.3
50120	1	Subak A	Subak B	Subak C		Tinhingan Area	Indonesia	Orient	5	1600000	-1	50120.1	50120	Subak A	2	2	5		0	0	0		1.4	-2	0	-1	-1	1.2	3.2	-1	-1	3.1	50120.1	5	1	1	2	-1	1958	1958	6	-1	-1	-1	-1	-1	-1	-1		-1	3.3	-2	-2	-1	16000000	-1	-1	-1	3.3	-1	1.3	-1	1.4	-1	2.3	-1	-1	-1	1.4	-2	-2	2.2	2.3	1.3	2.3	1.3	2.3	1.3	1.3	1.3	1.3	2.3	4.2	1.3	-1	-1	01000.4	1	4.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.2	2.2	0	4.1	All members of the Subak.	-1	455	-1	5.5	2.3		1.3		2.3		1.3		2.3		1.3	Hindu	1.3		1.3	1.5	1.5	1.5	1.5	3.3	6.5	-2	1.4	1.3	-1	3.3	2.2	1.3	-1	4.3	-2	1.4	1.4	1.3
50119	1	A Tramo in Diaz Ordaz				Diaz Ordaz	Mexico	Central America & Caribbean	5	20000	-1	50119.1	50119	A Tramo in Diaz Ordaz	2	2	5		0	0	0		1.4	-2	0	2.3	-2	1.5	4.5	1.5	4.5	4.1	50119.1	7	1	1	2	-1	1970	-1	4	1	4	1	1	1	1	2		-1	3.3	-2	-2	20000.2	20000.3	-1	-1	-1	3.3	-1	1.3	-1	2.2	-1	2.2	-1	2.2	-1	1.2	-2	-2	2.3	2.3	1.3	2.3	1.3	2.3	2.3	1.3	1.3	2.3	-1	-1	2.3	1.3	-1	00000.5	1	5.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.2	2.2	0	5.1	All irrigators in the tramo.	-1	-1	-1	2.3	2.3		1.3		2.3		1.3		2.3		2.3		1.3		1.3	1.4	1.4	1.4	1.4	-1	6.3	-2	1.3	4.3	1.3	3.2	1.2	1.2	-1	4.3	-2	1.2	1.4	1.3
10124	5	Alanya Fishery, Turkey	Tasucu Bay Fishery, Turkey	Bay of Bodrum Fishery, Turkey	Bay of Izmir Fishery, Turkey	Alanya	Turkey	Middle East & South Asia	1	80000000	-2	10124.1	10124	Alanya Fishery, Turkey	1	2	1		225000000.5	0	0		1.5	2.5	2.5	1.4	2.4	1.5	2.3	1.2	-1	5.1	10124.1	2	1	3	3	1960	-1	1985	4	2	1	1	1	1	1	2		4.2	3.3	-1	150	-2	-2	-2	-2	2.3	2.3	-1	-1	-2	-2	-2	-2	-2	-2	3.3	1.5	3	1.5	-1	-1	1.5	2.4	1.5	2.4	1.5	1.5	2.4	2.4	1.4	4.2	-2	3.2	-2	-2.	1	6.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		-1	-1	0	6.1	The fishermen from the village of Alanya, Turkey.	-1	100	-1	3.4	1.5	0%	1.5		-2		1.5		-2		-1		1.5	Turkish	1.3	1.5	1.5	1.5	2.3	1.5	6.5	2.3	1.4	1.3	-1	-1	1.3	-1	4.5	-1	-2	1.3	1.5	-1
30532	1	Munglori Turf Management				Munglori	India	Middle East & South Asia	3	9850000	-2	30532.1	30532	Munglori Turf Management	1	1	3		4850000.5	0	0		2.5	1.4	2.4	1.5	1.4	1.4	1.4	2.3	-2	75.1	30532.1	2	1	2	2	0	0	1985	2	1	1	1	1	1	1	2	-2	-2	3.4	-2	-2	0	0	0	0	-1	2.4	-1	1.4	-1	2.5	-1	-2	-2	-2	-1	1.3	2	1	2.5	-2	-2	-2	-2	-2	-2	-2	-2	-2	3.4	5.4	4.3	-1	-1	-2	1	2.1	-2	-2	-2	44444	44444	44444	44444	44444	44444	2.3	-2	2.3	2.3	0	2.1	The appropriators belong to the Hindu Pahari culture, and are primarily Rajputs - 206 out of 254 (Rajputs are a relatively high caste) and scheduled caste - 48 out of 254 (this is the lower caste in	-1	5.3	-1	2.3	2.3	5%	1.5	Hindu, Pahari	-1	-1	-1	-1	2.3	Rajput	1.4	Hindu	1.4	Garhwali	2.3	2.5	2.5	2.3	2.4	2.4	6.4	-2	3.3	1.4	4	4.4	2.2	1.2	6.3	1	-2	1.5	1.4	1.3
50121	1	Kheri Irrigation				Kheri Village	Tanzania	Africa	5	2590000	-1	50121.1	50121	Kheri Irrigation	2	2	5		0	0	0		1.4	-2	0	1.4	2.3	1.5	3.3	1.4	4.3	6.1	50121.1	8	1	1	2	1870	1955	1955	6	1	4	1	1	1	1	2		-1	3.4	-2	-2	-1	2600000	-1	-1	-1	3.3	-1	1.3	-1	1.4	-2	-2	-1	1.4	-1	1.4	-2	-2	2.5	2.3	1.3	2.3	1.3	1.3	1.3	1.3	1.3	1.3	2.3	4.2	2.3	2.4	4.2	11000.5	4	7.1	8.1	9.1	10.1	12222.3	12122.3	11122.3	12122.3	11122.3	11122.3	1	The "clients" could get water only after the rights holders had got enough and were willing to sell them water rights on a temporal basis.	-1	2.3	0	7.1	Wenamiji - a group of councilmen who held primary rights and authority regarding the irrigation system.	17.2	17.5	1.2	1.5	1.3	0%	1.3	Sonjo	2.3	Almost equally distributed among th four clans	1.3		1.3		1.3		1.3		1.3	1.5	1.5	1.5	1.5	3.1	6.5	-2	1.4	1.3	1.4	4.3	1.4	1.3	6.2	4.3	1.4	1.2	1.4	1.3
